,user,date,rating,review
2,Anonymous,19-Feb-14,9,Simply irresistible and addictive as hell.                           
69,Anonymous,01-Sep-13,9,"Unforgiving from the get-go, but a landmark in competitive multiplayer design. [Oct 2013, p.68]                           "
142,Anonymous,15-Aug-17,9,"And this dichotomy is perhaps the best descriptor I can attach to Dota 2. It is frequently a game which occupies two opposite spaces simultaneously. It is the best game. It is also the worst game. No game has ever made me as miserable as Dota 2 has. But no game has made me feel so consistently rewarded for my time, and as consistently, wonderfully connected to the friends I play it with.                            "
234,Anonymous,06-Feb-21,10,"I wasted a lot time of my life, DOTA 2 is extremely addictive, after playing the first time, your will be drenaid slowly."
236,Anonymous,12-Dec-20,10,The best game ever. Best in its genre. Most balanced. And the best of all is that it's free to play.
239,Anonymous,25-Oct-20,10,DOTA 2 is the only game of this universe and all sorts of parallel universes. This game gives knowledge beyond the edges of the knowledge of this universe.
240,Anonymous,26-Jun-20,10,"After you get past the learning curve, this game will give you the best PvP adrenaline rush you could possibly want. Great to play with friends and challenging to play on your own. The community is extremely toxic, but the game gets very addictive, very quickly."
242,Anonymous,26-Jun-20,10,"10/10 game, but on russian server, if u did bad, everyone will f**k ur mother"
244,Anonymous,15-May-20,10,all praise the icefrog and lord gaben! best game ever if you have the time to actually learn it. anything under 500h and you won't even have scratched the surface.
247,Anonymous,04-May-20,10,"10/104,227 hrs on record -I play this game since the Warcraft 3 mod - DotADota 2 is the most complex game ever madeValve - basically created eSports with Counter Strike and Dota 2"
250,Anonymous,28-Mar-20,10,"Definitely best MOBA out there. Game is very complicated and difficult to learn for those who have never played similar games before, but in my opinion complexity is not a flaw. Due to frequent updates Dota 2 never gets repetitive and manages to adapt without changing its core aspects."
251,Anonymous,27-Mar-20,10,"I was kicked due to error of server and then banned for leaving. But it is ok, it is no like big company created that game... oh, wait...many basic errors, no optimalisation, many games of single developers are better synchronized. That is just a shame."
252,Anonymous,30-Jan-20,10,good game but as all games with team needs player balance and hero balance.
257,Anonymous,23-Nov-19,10,"Must play. I played also League of Legends, but i find dota more interresting And It has better graphics"
260,Anonymous,08-Nov-19,10,shdsha asgg aga gsasfd sfg g sdfg sf    sdfg sdf    sfd gsdfgsdg
264,Anonymous,06-Nov-19,10,Constant perfect updates made by icefrog made this game the best MOBA add perfect graphic and nice events to this mix too
266,Anonymous,17-Mar-19,10,"Leeeeerrrrroooooyyyyy Jeeeennnnkkkkiiiinnnnssss!!!!!!But really this game is so fun if u can get into it, and although we don't have the most friendly community, there are many supportive people out there, such as the DOTA Alchemy duo, Purge and many more who try to help you become a beter player"
268,Anonymous,11-Feb-19,10,About as perfect a moba as you can find. Just beware the very steep learning curve
269,Anonymous,26-Jan-19,10,Game of life. Helps you develop a positive mental attitude. Constant changing meta keeps the game fresh.
270,Anonymous,12-Sep-18,10,"I actually can't give this game anything less than a 10 considering I've been playing DotA for about 14 years and keep coming back. Yeah, it can be frustrating, and yeah, the community is crap. But when you really strip it down, it really is just a fun game with a lot of depth."
275,Anonymous,02-Jun-18,10,Dota 2 is very nice game is too balance for skill player only .we have a little problems with cheats but valve ban him .battle pass every year is better and better  :D start dota 2 guys is very nice and balance game . No pay2win but cosmetics for those who want them. 10/10
279,Anonymous,16-Mar-18,10,"Best MOBA for hardcore players. If you need more fun and more casual, better play HotS. Now valve start to add new hero after 5 years and community happy."
282,Anonymous,01-Feb-18,10,One of the best Games ever. There is no other game i spent so much time with as I did in Dota 2. I mean by far.
284,Anonymous,09-Jan-18,10,awesome game that i have ever played. i will recommend this game to my friends
290,Anonymous,17-Dec-17,10,"Been playing for 5 years, don't plan on stopping any time soon. Originator of the game type MOBA, and immaculate execution of something so complex you'll never quite get it entirely, but satisfying every single time you try. Chess for the modern age. Welcome to Dota."
294,Anonymous,25-Nov-17,10,"This game literally changed my life. It can be toxic and infuriating at times, but this game is so rewarding in so many ways.The matchmaking rework is a welcome change and puts less weight on a specific mmr value and more on an overall experience by rewarding players with tiered badges. The rework is very similar to Rocket League's matchmaking system."
295,Anonymous,14-Jul-17,10,"Well, what can I say - 3000 hours played, this game is almost perfect...Of course the most annoying thing are other players who can be really toxic and hostile very frequently.10/10"
298,Anonymous,22-May-17,10,"Greatest ARTS game out there, with more mechanics and features than any of the other titles. The game has improved a lot since its release in 2013, thus lot of the user reviews here are quite outdated."
301,Anonymous,06-Apr-17,10,"I dont how that.....tecuyytuv yukcdvtr vytufteyu kirtyftetdrssrgfdi yjdtgdd hryurftdg jtedjjult7yrf 6edghtrsrershfn jtdtfghdtrjyjts,kdts hftdgntd jyrtygnhtdgndhgd"
306,Anonymous,13-Sep-16,10,"Played Dota since 1998, still the best game of all time; Never got bored.It requires some time to get to know the basics. The fun  is to get better with each game."
307,Anonymous,29-May-16,10,"If you don't ever want to play another game and are up to a challenge this game if for you I'm hopelessly addicted always try to play different games but always end up coming back days later. (work,family,and dota)"
308,Anonymous,12-Jan-16,10,"Very challenging, strategical, too much to understand but once you learned the mechanics it's easy, I tried a different MOBA and this is my favorite and it's the BEST EVER"
313,Anonymous,13-Nov-15,10,Very good game Very good game Very good game Very good game Very good game Very good game Very good game Very good game Very good game Very good game Very good game Very good game Very good game!!!! Very good game Very good game Very good game Very good game Very good game Very good game Very good game Very good game Very good game Very good game Very good game Very good game Very good game!!!!
