,user,date,rating,review
1,Anonymous,18-May-21,5,I go in to distract the head and usually I get high lvlli otp come otp high level and smurfs new items ultra strengthened with the character of some buffs with strong characters play bi morde less fun without eating nerf
6,Anonymous,11-May-21,0,"Unbalanced games, ugly and toxic communities, boring, repetitive games, lots of expensive skins"
7,Anonymous,09-May-21,0,WORST COPYCAT EVER TRASH GAMEPLAY TRASH GRAPHICS THAT GAME MUST BE a MOBILE GAME AND A COMMUNITY OF 10 YEAR OLD KIDS
8,Anonymous,02-May-21,5,Only fun with friends. If you get this game for yourself  you are in for a world of hurt and it will be difficult to stop.
9,Anonymous,01-May-21,1,This game is boring as hell for me. It made me leave just after my first long and boring match.
10,Anonymous,29-Apr-21,6,"There is sutch a poison in the air. The players are almost all toxic. Plus the champion they give you is very strong while in the first levels, but then you how crappy he is. I think if riot could take that away, the game would be just perfect."
13,Anonymous,21-Apr-21,2,"Pes is a game that I have played since 2013 and it is very nice, as always, it is not a masterpiece in 2021 but it is a beautiful gam"
14,Anonymous,20-Apr-21,0,Game is good but support team allow people to steal accounts and community is really toxic do not put money into it
18,Anonymous,15-Apr-21,7,"fun but addictive, addictive but destructive, playing league of legends is entering a world of no return, despite the regrets, taking out the toxic community, and the client always buggy, it's a great game"
19,Anonymous,14-Apr-21,10,"Joshua Tomar is the best voice actor in the century.Maybe not, but I'd like to believe so."
21,Anonymous,13-Apr-21,0,"Horrible game, riot doesn't like making hitboxes or projectiles come out of the front of the champion leading to broken clipping due to incompetent coding."
23,Anonymous,09-Apr-21,0,Worst game that ever existed. The community is very toxic. Matches are way too long.
24,Anonymous,05-Apr-21,8,"Very engaging game, super addictive. Therefore I will give it 8/10. But the community is awful."
25,Anonymous,01-Apr-21,0,I paid 5 E-girls to simultaneously be my Minecraft wives and things got really weird...https://www.youtube.com/watch?v=VSIFKX2PYfE
28,Anonymous,18-Mar-21,1,Game needs an entire re-haul to be playable again.It's been Band-Aid patched too much for balance.The algorithm for existing players' matchmaking needs a complete rewrite.Un-installed after many years of playing and putting money into. Much better games out there
31,Anonymous,08-Mar-21,0,"Weird game.A stupid and toxic community, unbalanced champions, ridiculous skins, bugs.If it's that bad, why is it played so much? Because this game is the easiest moba game."
32,Anonymous,02-Mar-21,0,"worst game ever. Don't ever play it. unbalanced, toxic, unfun, have the worst champions design"
33,Anonymous,01-Mar-21,6,"The worst community ever. The mechanics are boring. Of course, different characteristics of different characters are nice. Still, his community is almost garbage."
34,Anonymous,21-Feb-21,0,11 years 11 years of unbalanced and fu**ed up community. Disabled romanians and xayoo typed polish people destroyed EUNE AF.
37,Anonymous,10-Feb-21,0,This game is very very very very bad and i wanna say that gaymers who play this is ****
38,Anonymous,08-Feb-21,6,"When you first start playing it's not addictive at all, but you keep playing for your friends and you start to get into the game. It's ok if you play a little and then quit or when you use it to talk on discord, but only that. The community sucks and I don't see any captivating story in the game. What is interesting are the tournaments, little else. I wouldn't play anymore."
39,Anonymous,08-Feb-21,0,"Toxic,unbalanced,no fun, a lot of smurfers...Trash game like every riots game"
41,Anonymous,02-Feb-21,0,"only god can save this game,the community is hell itself,I've never had less fun playing a game in my entire life."
44,Anonymous,27-Jan-21,0,Cho'Gath is too op in aram please nerf this purple barny looking ass dinosaur hoe. I lost to cho'gath in aram because he is soooooooo op expecially when he builds luden's echo and kraken slayer and I just die
45,Anonymous,26-Jan-21,0,DEPRESSION INDUCING COMMUNITY !. Keep your kids away. SAVE your time and play something else
46,Anonymous,26-Jan-21,9,..........................................................................:
50,Anonymous,11-Jan-21,1,wors community i have ever seen wtf this people going on people are crazy about game and wtf just
52,Anonymous,09-Jan-21,3,asdasdasdasdasdasdasdasdasdasdasdasdasdasdasdasdasdasdasdasdasdasdasdasdasd
53,Anonymous,08-Jan-21,0,Imagine get lower rank after defeat than after win.I don't recommend this **** game.
56,Anonymous,04-Jan-21,0,This game will suck the life out of you and leave only a shell of what you used to be.
57,Anonymous,03-Jan-21,10,"One of my favourite game, I spend a lot of time playing my favourite champs on Summoner's Rift"
62,Anonymous,28-Dec-20,5,"Fun game but, the balance changes and meta, also mmr system in ranked make zero sense, **** tone of champs, 2/3 of them is unplayable."
65,Anonymous,14-Dec-20,0,"The community,eu servers and unbalancing of this game is **** insane.Graphically looks like **** but we''ll put that aside not that king of game that's played for graphics,gameplay it's **** dog,bugs from time to time IN A PVP ONLINE MOBA THATS SUPPOSED TO BE KING AND IT'S **** 10 YEARS OLD,but the **** community that this company built is atrocious,toxic people with no purpose in life."
66,Anonymous,14-Dec-20,0,I don't understand why this game is so popular. I do not think it should be popular. Hope this game rots in Hell.
67,Anonymous,14-Dec-20,0,"Do you want to play the worst dota ripoff ever? Feel free to play league of legends, and sell your soul to the CCP!"
68,Anonymous,13-Dec-20,10,"Best game I ever player, once you start, you can't quit... The K/DA (skins line) community is garbage."
71,Anonymous,03-Dec-20,0,"too much league of legends in this game, plus the exclusion of donkey kong was a weird design choice. overall a very bad game"
78,Anonymous,17-Nov-20,7,lllllllllllllllllll Fine Game lllllllllllllllllllllllllllllllllllllllllllllllllllllll
80,Anonymous,13-Nov-20,7,"random free to play game like dota2, little better here and there, but the same random gameplay and fx."
82,Anonymous,08-Nov-20,0,"Played for years then get banned for getting flamed and asking ""who is your favorite superhero and why is it spiderman?"" also said ""haven't played in a while and don't care about winning"" didn't know silver was so intense its worth a ban for me to come back to ranked after 3 years lol. Not worth install, don't care about you when they are dying and banning for no reason."
84,Anonymous,04-Nov-20,0,"Riot only cares to create ADs and market the game , while giving zero **** about game itself."
86,Anonymous,01-Nov-20,4,"Pretty bad. This game is not garbage, but this is a personal opinion after all, and I do not enjoy playing it."
88,Anonymous,29-Oct-20,0,"Very good balance game i ever play in my life, 2020 this game is for kid now"
89,Anonymous,25-Oct-20,0,"This is Hands down the worst moba out right now, the company who calls themselves RIOT games should be completely ashamed, ive not played a more unbalanced , unfun game in almost my entire gaming career. pretty pathetic excuse for a moba. really needs to see some Critical nerfs and changes before its ever good."
